Institution,Year,Program name,UNESCO Program Classification,Program Level,Program duration on years,Program FTE equivalency,Number of students enrolled,Number of female students enrolled,Number of emirati students enrolled,Number of students enrolled in first year,Number of female students enrolled in first year,Number of emirati students enrolled in first year,Number of students graduated during year,Number of female students graduated during year,Number of emirati students graduated during year,Graduation rate at 1.5 lengths of career,Dropout rate on first year
SUAD,2015/16,Applied Foreign Languages,Arts and Humanities,Bachelor,4,1,81,18,34,20,4,8,10,2,4,44.8%,36.0%
SUAD,2016/17,Applied Foreign Languages,Arts and Humanities,Bachelor,4,1,95,16,44,23,4,11,11,2,5,48.1%,31.2%
SUAD,2017/18,Applied Foreign Languages,Arts and Humanities,Bachelor,4,1,66,18,4,16,4,1,8,2,0,45.4%,35.1%
SUAD,2018/19,Applied Foreign Languages,Arts and Humanities,Bachelor,4,1,67,9,26,16,2,6,8,1,3,48.8%,30.3%
SUAD,2019/20,Applied Foreign Languages,Arts and Humanities,Bachelor,4,1,87,35,39,21,8,9,10,4,4,48.5%,30.7%
SUAD,2015/16,Applied Sociological Research,Arts and Humanities,Master,2,0.8,72,16,5,36,8,2,18,4,1,52.1%,25.6%
SUAD,2016/17,Applied Sociological Research,Arts and Humanities,Master,2,0.8,76,2,2,38,1,1,19,0,0,47.4%,32.3%
SUAD,2017/18,Applied Sociological Research,Arts and Humanities,Master,2,0.8,69,1,8,34,0,4,17,0,2,42.6%,39.1%
SUAD,2018/19,Applied Sociological Research,Arts and Humanities,Master,2,0.8,65,31,13,32,15,6,16,7,3,47.7%,31.9%
SUAD,2019/20,Applied Sociological Research,Arts and Humanities,Master,2,0.8,84,15,39,42,7,19,21,3,9,45.4%,35.2%
SUAD,2015/16,Banking And Finance,"Business, Administration and Law",Master,2,0.8,68,34,21,34,17,10,17,8,5,55.0%,21.5%
SUAD,2016/17,Banking And Finance,"Business, Administration and Law",Master,2,0.8,77,8,22,38,4,11,19,2,5,46.1%,34.2%
SUAD,2017/18,Banking And Finance,"Business, Administration and Law",Master,2,0.8,77,3,16,38,1,8,19,0,4,49.9%,28.7%
SUAD,2018/19,Banking And Finance,"Business, Administration and Law",Master,2,0.8,67,21,7,33,10,3,16,5,1,43.3%,38.2%
SUAD,2019/20,Banking And Finance,"Business, Administration and Law",Master,2,0.8,86,23,13,43,11,6,21,5,3,52.0%,25.7%
SUAD,2015/16,Db Philosophy And Sociology,Arts and Humanities,Bachelor,4,1,98,17,15,24,4,3,12,2,1,45.4%,35.1%
SUAD,2016/17,Db Philosophy And Sociology,Arts and Humanities,Bachelor,4,1,76,13,2,19,3,0,9,1,0,48.5%,30.8%
SUAD,2017/18,Db Philosophy And Sociology,Arts and Humanities,Bachelor,4,1,93,3,21,23,0,5,11,0,2,49.1%,29.9%
SUAD,2018/19,Db Philosophy And Sociology,Arts and Humanities,Bachelor,4,1,97,33,38,24,8,9,12,4,4,42.0%,39.9%
SUAD,2019/20,Db Philosophy And Sociology,Arts and Humanities,Bachelor,4,1,100,31,37,25,7,9,12,3,4,44.2%,36.8%
SUAD,2015/16,Economics And Management,"Business, Administration and Law",Bachelor,4,1,95,14,30,23,3,7,11,1,3,46.0%,34.3%
SUAD,2016/17,Economics And Management,"Business, Administration and Law",Bachelor,4,1,89,1,5,22,0,1,11,0,0,52.9%,24.5%
SUAD,2017/18,Economics And Management,"Business, Administration and Law",Bachelor,4,1,65,3,20,16,0,5,8,0,2,49.9%,28.8%
SUAD,2018/19,Economics And Management,"Business, Administration and Law",Bachelor,4,1,82,32,38,20,8,9,10,4,4,43.2%,38.2%
SUAD,2019/20,Economics And Management,"Business, Administration and Law",Bachelor,4,1,61,25,15,15,6,3,7,3,1,45.5%,34.9%
SUAD,2015/16,Environment:Dynamics-Territories & Societies,"Agriculture, Forestry,  Fisheries and Veterinary",Master,2,0.8,75,13,8,37,6,4,18,3,2,45.6%,34.9%
SUAD,2016/17,Environment:Dynamics-Territories & Societies,"Agriculture, Forestry,  Fisheries and Veterinary",Master,2,0.8,77,4,7,38,2,3,19,1,1,47.3%,32.4%
SUAD,2017/18,Environment:Dynamics-Territories & Societies,"Agriculture, Forestry,  Fisheries and Veterinary",Master,2,0.8,61,26,18,30,13,9,15,6,4,43.5%,37.9%
SUAD,2018/19,Environment:Dynamics-Territories & Societies,"Agriculture, Forestry,  Fisheries and Veterinary",Master,2,0.8,69,22,31,34,11,15,17,5,7,51.9%,25.8%
SUAD,2019/20,Environment:Dynamics-Territories & Societies,"Agriculture, Forestry,  Fisheries and Veterinary",Master,2,0.8,90,31,29,45,15,14,22,7,7,50.0%,28.6%
SUAD,2015/16,Executive Sports Management,"Business, Administration and Law",Diploma,1,0.75,63,10,8,63,10,8,31,5,4,54.8%,21.7%
SUAD,2016/17,Executive Sports Management,"Business, Administration and Law",Diploma,1,0.75,87,12,8,87,12,8,43,6,4,47.4%,32.3%
SUAD,2017/18,Executive Sports Management,"Business, Administration and Law",Diploma,1,0.75,72,11,18,72,11,18,36,5,9,49.8%,28.9%
SUAD,2018/19,Executive Sports Management,"Business, Administration and Law",Diploma,1,0.75,70,27,11,70,27,11,35,13,5,44.2%,36.9%
SUAD,2019/20,Executive Sports Management,"Business, Administration and Law",Diploma,1,0.75,89,6,22,89,6,22,44,3,11,48.1%,31.3%
SUAD,2015/16,French Literature,"Social Sciences, Journalism and information",Bachelor,4,1,97,34,15,24,8,3,12,4,1,51.3%,26.7%
SUAD,2016/17,French Literature,"Social Sciences, Journalism and information",Bachelor,4,1,67,30,4,16,7,1,8,3,0,55.6%,20.6%
SUAD,2017/18,French Literature,"Social Sciences, Journalism and information",Bachelor,4,1,99,45,13,24,11,3,12,5,1,43.7%,37.6%
SUAD,2018/19,French Literature,"Social Sciences, Journalism and information",Bachelor,4,1,72,33,20,18,8,5,9,4,2,54.1%,22.6%
SUAD,2019/20,French Literature,"Social Sciences, Journalism and information",Bachelor,4,1,66,10,31,16,2,7,8,1,3,43.9%,37.2%
SUAD,2015/16,Geography And Planning,"Natural Sciences, Mathematics and Statistics",Bachelor,4,1,99,47,43,24,11,10,12,5,5,53.1%,24.1%
SUAD,2016/17,Geography And Planning,"Natural Sciences, Mathematics and Statistics",Bachelor,4,1,68,15,32,17,3,8,8,1,4,43.9%,37.3%
SUAD,2017/18,Geography And Planning,"Natural Sciences, Mathematics and Statistics",Bachelor,4,1,87,41,16,21,10,4,10,5,2,45.3%,35.3%
SUAD,2018/19,Geography And Planning,"Natural Sciences, Mathematics and Statistics",Bachelor,4,1,95,9,37,23,2,9,11,1,4,54.6%,22.0%
SUAD,2019/20,Geography And Planning,"Natural Sciences, Mathematics and Statistics",Bachelor,4,1,62,20,27,15,5,6,7,2,3,51.8%,26.1%
SUAD,2015/16,Health Economics,Health and Welfare,Master,2,0.8,91,4,33,45,2,16,22,1,8,45.9%,34.5%
SUAD,2016/17,Health Economics,Health and Welfare,Master,2,0.8,67,28,32,33,14,16,16,7,8,53.6%,23.4%
SUAD,2017/18,Health Economics,Health and Welfare,Master,2,0.8,99,16,14,49,8,7,24,4,3,52.1%,25.6%
SUAD,2018/19,Health Economics,Health and Welfare,Master,2,0.8,60,14,7,30,7,3,15,3,1,42.4%,39.5%
SUAD,2019/20,Health Economics,Health and Welfare,Master,2,0.8,98,37,27,49,18,13,24,9,6,45.6%,34.8%
SUAD,2015/16,History,Arts and Humanities,Bachelor,4,1,84,15,27,21,3,6,10,1,3,53.9%,23.0%
SUAD,2016/17,History,Arts and Humanities,Bachelor,4,1,65,19,10,16,4,2,8,2,1,43.6%,37.7%
SUAD,2017/18,History,Arts and Humanities,Bachelor,4,1,93,26,12,23,6,3,11,3,1,44.3%,36.7%
SUAD,2018/19,History,Arts and Humanities,Bachelor,4,1,77,35,4,19,8,1,9,4,0,45.0%,35.6%
SUAD,2019/20,History,Arts and Humanities,Bachelor,4,1,83,39,38,20,9,9,10,4,4,48.9%,30.2%
SUAD,2015/16,History Of Art And Archaeology,Arts and Humanities,Bachelor,4,1,67,13,12,16,3,3,8,1,1,43.1%,38.5%
SUAD,2016/17,History Of Art And Archaeology,Arts and Humanities,Bachelor,4,1,99,14,21,24,3,5,12,1,2,54.3%,22.4%
SUAD,2017/18,History Of Art And Archaeology,Arts and Humanities,Bachelor,4,1,82,36,25,20,9,6,10,4,3,49.0%,30.0%
SUAD,2018/19,History Of Art And Archaeology,Arts and Humanities,Bachelor,4,1,80,15,22,20,3,5,10,1,2,45.7%,34.7%
SUAD,2019/20,History Of Art And Archaeology,Arts and Humanities,Bachelor,4,1,61,20,15,15,5,3,7,2,1,42.9%,38.7%
SUAD,2015/16,History Of Art/Museum Studies,Arts and Humanities,Master,2,0.8,63,22,13,31,11,6,15,5,3,45.2%,35.4%
SUAD,2016/17,History Of Art/Museum Studies,Arts and Humanities,Master,2,0.8,83,3,27,41,1,13,20,0,6,50.9%,27.2%
SUAD,2017/18,History Of Art/Museum Studies,Arts and Humanities,Master,2,0.8,84,24,25,42,12,12,21,6,6,49.9%,28.8%
SUAD,2018/19,History Of Art/Museum Studies,Arts and Humanities,Master,2,0.8,75,18,18,37,9,9,18,4,4,45.3%,35.2%
SUAD,2019/20,History Of Art/Museum Studies,Arts and Humanities,Master,2,0.8,83,8,39,41,4,19,20,2,9,53.0%,24.3%
SUAD,2015/16,Applied Foreign Languages : Management & International Business,Arts and Humanities,Master,2,0.8,81,19,6,40,9,3,20,4,1,44.6%,36.2%
SUAD,2016/17,Applied Foreign Languages : Management & International Business,Arts and Humanities,Master,2,0.8,75,24,12,37,12,6,18,6,3,43.4%,38.0%
SUAD,2017/18,Applied Foreign Languages : Management & International Business,Arts and Humanities,Master,2,0.8,87,31,8,43,15,4,21,7,2,49.4%,29.4%
SUAD,2018/19,Applied Foreign Languages : Management & International Business,Arts and Humanities,Master,2,0.8,79,7,34,39,3,17,19,1,8,51.6%,26.2%
SUAD,2019/20,Applied Foreign Languages : Management & International Business,Arts and Humanities,Master,2,0.8,61,19,29,30,9,14,15,4,7,48.0%,31.5%
SUAD,2015/16,"International Law, International Relations & Diplomacy","Business, Administration and Law",Master,2,0.8,61,13,12,30,6,6,15,3,3,53.4%,23.8%
SUAD,2016/17,"International Law, International Relations & Diplomacy","Business, Administration and Law",Master,2,0.8,74,6,32,37,3,16,18,1,8,43.9%,37.2%
SUAD,2017/18,"International Law, International Relations & Diplomacy","Business, Administration and Law",Master,2,0.8,91,21,30,45,10,15,22,5,7,51.7%,26.1%
SUAD,2018/19,"International Law, International Relations & Diplomacy","Business, Administration and Law",Master,2,0.8,94,4,9,47,2,4,23,1,2,45.3%,35.3%
SUAD,2019/20,"International Law, International Relations & Diplomacy","Business, Administration and Law",Master,2,0.8,83,34,4,41,17,2,20,8,1,54.0%,22.8%
SUAD,2015/16,Intensive French,Arts and Humanities,Diploma,1,0.5,65,29,26,65,29,26,32,14,13,42.2%,39.7%
SUAD,2016/17,Intensive French,Arts and Humanities,Diploma,1,0.5,100,6,22,100,6,22,50,3,11,54.9%,21.5%
SUAD,2017/18,Intensive French,Arts and Humanities,Diploma,1,0.5,90,38,18,90,38,18,45,19,9,45.1%,35.6%
SUAD,2018/19,Intensive French,Arts and Humanities,Diploma,1,0.5,84,41,22,84,41,22,42,20,11,46.0%,34.2%
SUAD,2019/20,Intensive French,Arts and Humanities,Diploma,1,0.5,60,6,10,60,6,10,30,3,5,55.9%,20.2%
SUAD,2015/16,International Business Law,"Business, Administration and Law",Master,2,0.8,75,32,28,37,16,14,18,8,7,54.0%,22.8%
SUAD,2016/17,International Business Law,"Business, Administration and Law",Master,2,0.8,94,17,4,47,8,2,23,4,1,47.4%,32.3%
SUAD,2017/18,International Business Law,"Business, Administration and Law",Master,2,0.8,90,5,5,45,2,2,22,1,1,44.6%,36.3%
SUAD,2018/19,International Business Law,"Business, Administration and Law",Master,2,0.8,75,7,1,37,3,0,18,1,0,49.0%,30.0%
SUAD,2019/20,International Business Law,"Business, Administration and Law",Master,2,0.8,82,16,17,41,8,8,20,4,4,43.3%,38.2%
SUAD,2015/16,Law,"Business, Administration and Law",Bachelor,4,1,78,8,3,19,2,0,9,1,0,44.6%,36.3%
SUAD,2016/17,Law,"Business, Administration and Law",Bachelor,4,1,91,36,31,22,9,7,11,4,3,43.9%,37.3%
SUAD,2017/18,Law,"Business, Administration and Law",Bachelor,4,1,93,42,10,23,10,2,11,5,1,52.3%,25.2%
SUAD,2018/19,Law,"Business, Administration and Law",Bachelor,4,1,94,8,36,23,2,9,11,1,4,51.7%,26.2%
SUAD,2019/20,Law,"Business, Administration and Law",Bachelor,4,1,60,2,6,15,0,1,7,0,0,49.3%,29.6%
SUAD,2015/16,"Marketing Management, Communications And Media","Social Sciences, Journalism and information",Master,2,0.8,92,25,40,46,12,20,23,6,10,42.7%,39.1%
